13946
4434	2067	2
12	4434	3
12	2067	4
10	2067	5
11	4434	0
11	1734	1
4434	1734	2
20	4434	3
20	1734	4
15	1734	5
11	4434	0
11	4435	1
4434	4435	2
20	4434	3
20	4435	4
15	4435	5
11	4434	0
11	1734	1
4434	1734	2
20	4434	3
20	1734	4
15	1734	5
11	4436	0
11	34	1
4436	34	2
38	4436	3
38	34	4
10	34	5
11	4436	0
11	4437	1
4436	4437	2
38	4436	3
38	4437	4
10	4437	5
11	4438	0
11	4439	1
4438	4439	2
20	4438	3
20	4439	4
2	4439	5
50	4440	0
50	2394	1
4440	2394	2
289	4440	3
289	2394	4
15	2394	5
26	4441	0
26	1538	1
4441	1538	2
38	4441	3
38	1538	4
2	1538	5
11	4442	0
11	139	1
4442	139	2
20	4442	3
20	139	4
15	139	5
43	40	0
43	1643	1
40	1643	2
12	40	3
12	1643	4
15	1643	5
43	40	0
43	4443	1
40	4443	2
12	40	3
12	4443	4
15	4443	5
40	40	0
40	4444	1
40	4444	2
38	40	3
38	4444	4
15	4444	5
40	40	0
40	4445	1
40	4445	2
12	40	3
12	4445	4
15	4445	5
40	40	0
40	4446	1
40	4446	2
38	40	3
38	4446	4
15	4446	5
40	40	0
40	3487	1
40	3487	2
38	40	3
38	3487	4
15	3487	5
40	40	0
40	4447	1
40	4447	2
38	40	3
38	4447	4
15	4447	5
40	40	0
40	4448	1
40	4448	2
38	40	3
38	4448	4
15	4448	5
40	40	0
40	57	1
40	57	2
38	40	3
38	57	4
10	57	5
40	40	0
40	4449	1
40	4449	2
38	40	3
38	4449	4
10	4449	5
40	40	0
40	2053	1
40	2053	2
38	40	3
38	2053	4
15	2053	5
40	40	0
40	2275	1
40	2275	2
38	40	3
38	2275	4
15	2275	5
40	40	0
40	4450	1
40	4450	2
38	40	3
38	4450	4
15	4450	5
40	40	0
40	2562	1
40	2562	2
4	40	3
4	2562	4
15	2562	5
40	40	0
40	240	1
40	240	2
4	40	3
4	240	4
15	240	5
40	40	0
40	131	1
40	131	2
4	40	3
4	131	4
15	131	5
40	40	0
40	1936	1
40	1936	2
38	40	3
38	1936	4
15	1936	5
40	40	0
40	4451	1
40	4451	2
38	40	3
38	4451	4
15	4451	5
40	40	0
40	4452	1
40	4452	2
38	40	3
38	4452	4
15	4452	5
40	40	0
40	4453	1
40	4453	2
289	40	3
289	4453	4
2	4453	5
40	40	0
40	256	1
40	256	2
38	40	3
38	256	4
15	256	5
40	40	0
40	4454	1
40	4454	2
38	40	3
38	4454	4
15	4454	5
40	40	0
40	4455	1
40	4455	2
38	40	3
38	4455	4
15	4455	5
40	40	0
40	2902	1
40	2902	2
38	40	3
38	2902	4
10	2902	5
40	40	0
40	2438	1
40	2438	2
38	40	3
38	2438	4
10	2438	5
40	40	0
40	52	1
40	52	2
38	40	3
38	52	4
10	52	5
40	40	0
40	72	1
40	72	2
38	40	3
38	72	4
10	72	5
40	40	0
40	47	1
40	47	2
38	40	3
38	47	4
2	47	5
40	40	0
40	4456	1
40	4456	2
38	40	3
38	4456	4
15	4456	5
40	40	0
40	1798	1
40	1798	2
12	40	3
12	1798	4
10	1798	5
40	40	0
40	839	1
40	839	2
38	40	3
38	839	4
10	839	5
40	40	0
40	82	1
40	82	2
20	40	3
20	82	4
10	82	5
40	4457	0
40	4458	1
4457	4458	2
38	4457	3
38	4458	4
15	4458	5
40	4459	0
40	2065	1
4459	2065	2
38	4459	3
38	2065	4
10	2065	5
40	4459	0
40	4460	1
4459	4460	2
38	4459	3
38	4460	4
10	4460	5
43	4459	0
43	807	1
4459	807	2
38	4459	3
38	807	4
15	807	5
40	4459	0
40	139	1
4459	139	2
4	4459	3
4	139	4
15	139	5
40	4459	0
40	2307	1
4459	2307	2
4	4459	3
4	2307	4
15	2307	5
134	4461	0
134	2226	1
4461	2226	2
20	4461	3
20	2226	4
10	2226	5
53	4462	0
53	4463	1
4462	4463	2
38	4462	3
38	4463	4
2	4463	5
53	4462	0
53	4464	1
4462	4464	2
38	4462	3
38	4464	4
2	4464	5
53	4462	0
53	792	1
4462	792	2
38	4462	3
38	792	4
15	792	5
35	4465	0
35	1798	1
4465	1798	2
20	4465	3
20	1798	4
10	1798	5
71	4466	0
71	4467	1
4466	4467	2
38	4466	3
38	4467	4
15	4467	5
71	4466	0
71	4468	1
4466	4468	2
38	4466	3
38	4468	4
15	4468	5
496	4469	0
496	4470	1
